time_s,dist_cm,dac_i2c
64.962,63.984376,3448
65.108,63.984376,3456
65.255,63.984376,3464
65.403,63.984376,3472
65.55,63.984376,3480
65.698,63.984376,3488
65.848,63.984376,3496
65.995,63.984376,3504
66.143,63.984376,3512
66.294,63.984376,3520
66.451,63.984376,3528
66.598,63.984376,3536
66.746,63.984376,3544
66.895,63.984376,3552
67.044,63.984376,3560
67.236,63.984376,3568
67.384,63.984376,3576
67.532,63.984376,3584
67.68,63.984376,3592
67.824,63.984376,3600
67.972,63.984376,3608
68.12,63.984376,3616
68.267,63.984376,3624
68.418,63.984376,3632
68.567,63.984376,3640
68.723,63.984376,3648
68.875,63.984376,3656
69.023,63.984376,3664
69.17,63.984376,3672
69.319,63.984376,3680
69.471,63.984376,3688
69.67,63.984376,3696
69.821,63.984376,3704
69.971,63.984376,3712
70.124,63.984376,3720
70.272,63.984376,3728
70.42,63.984376,3736
70.569,63.984376,3744
70.723,63.984376,3752
70.876,63.984376,3760
71.029,63.984376,3768
71.181,63.984376,3776
71.331,63.984376,3784
71.481,63.984376,3792
71.633,63.984376,3800
71.788,63.984376,3808
71.944,63.984376,3816
72.134,63.984376,3824
72.286,63.984376,3832
72.438,63.984376,3840
72.592,63.984376,3848
72.741,63.984376,3856
72.896,63.984376,3864
73.057,63.984376,3872
73.211,63.984376,3880
73.37,63.984376,3888
73.524,63.984376,3896
73.676,63.984376,3904
73.835,63.984376,3912
73.987,63.984376,3920
74.141,63.984376,3928
74.297,63.984376,3936
74.455,63.984376,3944
74.658,63.984376,3952
74.81,63.984376,3960
74.964,63.984376,3968
75.121,63.984376,3976
75.279,63.984376,3984
75.434,63.984376,3992
75.59,63.984376,4000
75.746,63.984376,4008
75.902,63.984376,4016
76.054,63.984376,4024
76.208,63.984376,4032
76.363,63.984376,4040
76.523,63.984376,4048
76.682,63.984376,4056
76.841,63.984376,4064
76.997,63.984376,4072
77.19,63.984376,4080
77.346,63.984376,4088
77.499,63.984376,-4096
77.655,63.984376,-4088
77.808,63.984376,-4080
77.969,63.984376,-4072
78.129,63.984376,-4064
78.29,63.984376,-4056
78.452,63.984376,-4048
78.607,63.984376,-4040
78.765,63.984376,-4032
78.919,63.984376,-4024
79.075,63.984376,-4016
79.234,63.984376,-4008
79.392,63.984376,-4000
79.551,63.984376,-3992
79.761,63.984376,-3984
79.917,63.984376,-3976
80.074,63.984376,-3968
80.231,63.984376,-3960
80.387,63.984376,-3952
80.549,63.984376,-3944
80.706,63.984376,-3936
80.866,63.984376,-3928
81.028,63.984376,-3920
81.185,63.984376,-3912
81.342,63.984376,-3904
81.51,63.984376,-3896
81.667,63.984376,-3888
81.83,63.984376,-3880
81.991,63.984376,-3872
82.152,63.984376,-3864
82.354,63.984376,-3856
82.514,63.984376,-3848
82.671,63.984376,-3840
82.83,63.984376,-3832
82.992,63.984376,-3824
83.156,63.984376,-3816
83.316,63.984376,-3808
83.478,63.984376,-3800
83.64,63.984376,-3792
83.798,63.984376,-3784
83.99,63.984376,-3776
84.13,63.984376,-3768
84.27,63.984376,-3760
84.412,63.984376,-3752
84.552,63.984376,-3744
84.693,63.984376,-3736
84.87,63.984376,-3728
85.011,63.984376,-3720
